CÓDIGO;RUBRICA;ABATE TETO C.F.ATÉ JAN2004;ABATE TETO C.F. A PARTIR FEV2004
00325;SUBSTITUICAO PM;;
00326;13 SALARIO PM;;
00327;ADIANTAMENTO 13 SALARIO - PM;;
00328;FERIAS - REMUNERACAO 1/3 PM;;
00329;ABONO MP 199/90 - PENSIONISTA;X;X
00330;V.P.TRANSITORIA ART.2 MP1573-7;X;X
00331;GRATIFICACAO DE FUNCAO - CLT;X;X
00332;GRATIFICACAO POR EMBARQUE -CLT;X;X
00333;ETAPA - CLT;X;X
00334;ADIC. DE INSALUBRIDADE CLT;;
00335;SALDO DIAS REMUNERADO - CLT23;X;X
00336;GAF- ART. 3 DA LEI 9.651/98;X;X
00337;GAF- ART.3 -LEI 9.651/98;X;X
00338;ADIC.T.SERV.PARC.INCORP. CLT;;
00339;SALARIO EDUCACAO-CLT;;
00340;INDENIZACAO MP 434/94-CLT;;
00341;BONIFICACAO 10%-CLT;;
00342;COMPLEMENTO ETAPA-CLT;X;X
00343;FARDAMENTO-CLT;X;X
00344;COMPLEMENTO DE TRIENIO-CLT;X;X
00345;CAPITAO FLUVIAL/COMANDO-CLT;X;X
00346;SUPERVISOR MAQ.1.MOTORISTA CLT;X;X
00347;PILOTO FLUVIAL/COMANDO-CLT;X;X
00348;MOTORISTA FLUVIAL/COMANDO-CLT;X;X
00349;REPRESENT CAPITAO FLUVIAL-CLT;X;X
00350;MESTRE FLUVIAL/COMANDO-CLT;X;X
00351;GRATIFICACAO DE IMEDIATO-CLT;X;X
00352;GRATIFICACAO DE TAIFEIRO-CLT;X;X
00353;GRATIFICACAO DE COZINHEIRO-CLT;X;X
00354;GRATIFICACAO 2.MOTORISTA-CLT;X;X
00355;GRATIFICACAO 3.MOTORISTA-CLT;X;X
00356;DIF.PROV.ART.192 INC.II L.8112;X;X
00357;ART193 8112/90 FUNCAO INTEGRAL;X;X
00358;DIF.PROV.ART.192 INC.I L.8112;X;X
00359;GAE/GCT A.192 INC I L.8112/90;X;X
00360;ART193 8112/90 FG/REPRESENTACA;X;X
00361;HORAS EXTRAS 100% - CLT;X;X
00362;HORA EXTRA 150%-CLT;;
00363;HORA EXTRA NOTURNA 100%-CLT;;
00364;HORA EXTRA NOTURNA 150%-CLT;;
00365;HORA EXTRA 100%  ADICIONAL-CLT;;
00366;HORA EXTRA NOT/ESP 100%ADI-CLT;;
00367;HORA EXTRA 100% CONSTIT. - CLT;X;X
00368;AUXILIO MORADIA - CLT;;
00369;FERIAS - CLT;;
00370;AUXILIO TRANSPORTE-CLT;;
00371;AJUDA DE CUSTO TREINAMENTO-CLT;X;X
00372;PREMIO INCENTIVO QUALI - CLT;;
00373;REEMBOLSO DESP.MED MAT.-CLT;;
00374;REEMBOLSO DESP.MED.P/IR-CLT;;
00375;HORAS PLANTAO NOTURNO - CLT;;X
00376;HORAS PLANTAO DIURNO - CLT;;
00377;MEDIA HORAS EXTRAS/AD.NOT-CLT;;
00378;HORAS EXTRAS 120%-CLT;;
00379;HORAS SOBREAVISO 50%-CLT;;
00380;VANTAGEM PESSOAL-RARH-2-CLT;X;X
00381;SALARIO APRENDIZ - CLT;;
00382;ADIANTAMENTO A PESSOAL - CLT;;
00383;REPRESENTACAO-CLT;X;X
00384;ABONO PECUNIARIO FERIAS;;
00385;FERIAS - ADICIONAL 1/3 CLT;;
00386;ADIANT.ABONO SAL.ACT.97/98-CLT;;
00387;ABONO SALARIAL ACT.97/98-CLT;;
00388;DIF.REAJ.DEMAIS RUB.FERIAS-CLT;;
00389;VANT PES.DEC 1119/94 BNCC ATIV;X;X
00390;PISO SALARIAL MEDIO-CLT;X;X
00391;REMUNERACAO GLOBAL CLT INB;X;X
00392;ADICIONAL DE CAMPO-CLT;X;X
00393;FERIAS-MEDIA HORAS EXTRAS-CLT;;
00394;13.SALARIO/MATERNIDADE;;
00395;13.SAL S/HORAS EXTRAS HAB-CLT;;
00396;PERICULOSIDADE PRO-RATA-CLT;;
00397;VERBA INDENIZ. ACT-CLT;;
00398;RESCISAO CONT. LIQUIDO - CLT;;
00399;IND.HORA EXTRA TST 291-CLT;;
00400;ADICIONAL AREAS ESPECIAIS-CLT;;
00401;PRORROG.DE JOR.DE TRABALHO-CLT;;
00402;ADIC.NOTURNO OUTRA FONTE;;
00403;DIARIAS MENOR QUE 20%;;
00404;DIARIAS MENOR QUE 50% OUT.FONT;;
00405;VENCIMENTO COMPLEMENTAR;X;X
00406;GRATIFICACAO COMPLEMENTAR;X;X
00407;PENSAO MILITAR;X;X
00408;CURADOR;;
00409;GRAT.NATAL PROPOR.PENSIONISTAS;;
00410;COMPLEMEN.PISO.NAC.S.PENSIONIS;;
00411;ADICIONAL NOTURNO-CLT;;X
00412;FAS - ACAO JUDICIAL;X;X
00413;DIFERENCA DE CARGO EFETIVO-CLT;X;X
00414;VANTAGEM PESSOAL ORIENT.NOR.43;;
00415;DIFERENCA IND. ART 8 L.7923/89;X;X
00416;DIFERENCA IND. ART 8 L.7923/89;X;X
00417;SALARIO PESSOAL READAPT-CLT;X;X
00418;FALTA ABONADA ACT INTEGRAL-CLT;;
00419;ABONO FERIAS CF/88 IND.-CLT;;
00420;DIF.REM.DECISAO JUDICIAL-CLT;;
00421;VANTAGEM PES. ART 3 P 2224/88;X;X
00422;FERIAS EM DOBRO-CLT;;
00423;ADIANT.13.SAL.SAL.MAT.-CLT;;
00424;SALARIO MATERNIDADE GV-CLT;;
00425;SAL.MATERNIDADE-GEA/EQA-CLT;;
00426;SAL.MATERNIDADE-FCT-CLT;;
00427;SALARIO MATERNIDADE/ATS-CLT;;
00428;FALTA ABONADA ACT-1/2 PER-CLT;;
00429;SAL.MATERNID INC.ADIC.NOT.-CLT;;
00430;RESSARCIMENTO EMPRESA-CLT;;
00431;GRATIFICACAO VARIAVEL-CLT;;
00432;GRAT.ESP.DE ASSES.TECNICO-CLT;;
00433;FALTA ABONADA CHEFIA-CLT;;
00434;ADICIONAL DE QUALIFICACAO-CLT;;
00435;FALTA ABON.ATESTADO MEDICO-CLT;;
00436;INCORPORACAO ADIC.NOTURNO-CLT;X;X
00437;GRATIFIACAO INSTRUT GI01-CLT;;
00438;GRATIFICACAO INSTRUT- GI02-CLT;;
00439;GARANTIA EMPR INDENIZACAO-CLT;;
00440;AFASTAMENTO DIR SINDICAL-CLT;;
00441;SAL.MATERNID INCOR.H.EXTRA-CLT;;
00442;ADIANT.DIF REMUNERACAO-CLT;;
00443;ADIANTAMENTO FREQUENCIA-CLT;;
00444;RETR.PROM/RECL.RUBRICA-CLT;;
00445;RETR.PROM/RECL.FREQUENCIA-CLT;;
00446;INDENIZACAO APPD-AB SOCIAL-CLT;;
00447;INCENTIVO - PDV-CLT;;
00448;SALARIO BENEFICIO-CLT;;
00449;PISO SALARIAL OPERACIONAL-CLT;X;X
00450;PISO SALARIAL SUPERIOR-CLT;X;X
00451;COMPLEMENTO JORN ADVOGADOS-CLT;X;X
00452;ATS.COMPL.JORN.TRAB ADV-CLT;X;X
00453;ANUENIO S/PASS.TRABALHISTA-CLT;;
00454;BOLSA ESTUDO (SNPA/SIBRAT)-CLT;;
00455;RESSARCIMENTO-TX MATRICULA-CLT;;
00456;VANTAGEM PESSOAL ON 86 APOSENT;X;X
00457;VANTAGEM PESSOAL EM 608/77;X;X
00458;VANTAGEM PESSOAL EM 608/77 AP;X;X
00459;AUXILIO ALIMENTACAO-CLT;X;X
00460;14 SALARIO-CLT;X;X
00461;VANT.PES.MP 1549/97 L 9484/97;X;X
00462;VANT.PES.MP 1549/97 L 9484/97;X;X
00463;PREJULGADO 20/66-CLT;;
00464;DIF.DE VENC.ART.17 LEI 9624/98;X;X
00465;DIF.DE VENC.ART.17 LEI 9624/98;X;X
00466;MEDIA H.EXT RED 13SALARIO-CLT;X;X
00467;MEDIA ADIC.NOT/SAL.MATERN-CLT;X;X
00468;VANT.PES.NOM.IDENT.DL.2438/88;X;X
00469;VANT.PES.NOM.IDENT.DL.2438/88;X;X
00470;FUNCAO GRATIFICADA FERIAS-CLT;X;X
00471;INSALUBRIDADE FERIAS-MRD/CLT;;X
00472;ADIC.APERFEIC.FERIAS-MRD/CLT;X;X
00473;13º SALARIO INSAL. - CLT;;
00474;13.SALARIO PERIC-MRD/CLT;;
00475;13º SALARIO FUNC GRATIF-CLT;;
00476;13º SALARIO TEMPO SERV-CLT;;
00477;13SALARIO QUEB DE CX-MRD/CLT;;
00478;13.SALARIO AD. APERF.MRD/CLT;;
00479;DIF.CARGO CONF RED-15/95-CLT;;
00480;DIFERENCA REMUNERACAO-CLT;;
00481;DIFERENCA REAJ FREQUENCIA-CLT;;
00482;GRAT SER EXTR CENSO TEMPORARIO;X;X
00483;DIF. REAJ GRATIFICACOES-CLT;;
